Date,Open,High,Low,Close,Adj Close,Volume,Difference,Year,Month,Day,Difference_Afirm
2018-08-22,23.489999771118164,23.489999771118164,21.8799991607666,22.450000762939453,22.450000762939453,3657300,1.2599983215332031,2018,08,22,0
2018-08-23,22.510000228881836,22.739999771118164,21.780000686645508,22.049999237060547,22.049999237060547,2148100,0.40000152587890625,2018,08,23,0
2018-08-24,22.270000457763672,22.450000762939453,21.860000610351562,22.0,22.0,709200,0.049999237060546875,2018,08,24,0
2018-08-27,22.100000381469727,22.739999771118164,21.959999084472656,22.5,22.5,879700,-0.5,2018,08,27,1
2018-08-28,22.5,22.670000076293945,22.200000762939453,22.649999618530273,22.649999618530273,295000,-0.14999961853027344,2018,08,28,1
2018-08-29,22.75,23.059999465942383,22.440000534057617,22.649999618530273,22.649999618530273,963000,0.0,2018,08,29,1
2018-08-30,22.440000534057617,22.770000457763672,22.079999923706055,22.309999465942383,22.309999465942383,1045400,0.3400001525878906,2018,08,30,0
2018-08-31,22.399999618530273,23.0,22.219999313354492,23.0,23.0,2276400,-0.6900005340576172,2018,08,31,1
2018-09-03,22.75,23.649999618530273,22.360000610351562,23.34000015258789,23.34000015258789,672400,-0.3400001525878906,2018,09,03,1
2018-09-04,23.309999465942383,23.31999969482422,22.149999618530273,22.290000915527344,22.290000915527344,869900,1.0499992370605469,2018,09,04,0
2018-09-05,22.25,22.540000915527344,22.1299991607666,22.3799991607666,22.3799991607666,1053100,-0.08999824523925781,2018,09,05,1
2018-09-06,22.520000457763672,22.889999389648438,22.209999084472656,22.700000762939453,22.700000762939453,584100,-0.32000160217285156,2018,09,06,1
2018-09-10,23.989999771118164,24.049999237060547,22.809999465942383,23.0,23.0,668700,-0.2999992370605469,2018,09,10,1
2018-09-11,22.93000030517578,22.989999771118164,21.860000610351562,22.0,22.0,1581500,1.0,2018,09,11,0
2018-09-12,22.299999237060547,22.389999389648438,21.860000610351562,21.899999618530273,21.899999618530273,1651200,0.10000038146972656,2018,09,12,0
2018-09-13,21.84000015258789,22.149999618530273,21.600000381469727,21.979999542236328,21.979999542236328,1641600,-0.07999992370605469,2018,09,13,1
2018-09-14,22.049999237060547,22.770000457763672,21.889999389648438,22.600000381469727,22.600000381469727,671400,-0.6200008392333984,2018,09,14,1
2018-09-17,22.450000762939453,23.81999969482422,22.450000762939453,23.489999771118164,23.489999771118164,845900,-0.8899993896484375,2018,09,17,1
2018-09-18,23.579999923706055,23.770000457763672,22.90999984741211,23.530000686645508,23.530000686645508,1543800,-0.04000091552734375,2018,09,18,1
2018-09-19,23.549999237060547,24.0,23.100000381469727,23.850000381469727,23.850000381469727,1233200,-0.31999969482421875,2018,09,19,1
2018-09-20,23.989999771118164,24.610000610351562,23.899999618530273,24.459999084472656,24.459999084472656,663900,-0.6099987030029297,2018,09,20,1
2018-09-21,24.639999389648438,25.299999237060547,24.3700008392334,25.299999237060547,25.299999237060547,1028600,-0.8400001525878906,2018,09,21,1
2018-09-24,25.139999389648438,25.139999389648438,23.6299991607666,23.690000534057617,23.690000534057617,1316000,1.6099987030029297,2018,09,24,0
2018-09-25,23.149999618530273,23.860000610351562,23.059999465942383,23.75,23.75,940500,-0.05999946594238281,2018,09,25,1
2018-09-26,23.75,24.239999771118164,23.549999237060547,23.790000915527344,23.790000915527344,527300,-0.04000091552734375,2018,09,26,1
2018-09-27,23.739999771118164,24.559999465942383,23.739999771118164,24.530000686645508,24.530000686645508,1507000,-0.7399997711181641,2018,09,27,1
2018-09-28,24.170000076293945,24.350000381469727,23.59000015258789,24.049999237060547,24.049999237060547,638500,0.48000144958496094,2018,09,28,0
